"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 27-Mar-2026","1W AGO 
 20-Mar-2026","1M AGO 
 24-Feb-2026","1Y AGO 
 26-Mar-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY 50","22,679.40","1.56","22,899.00","22,941.30","22,618.60","-","22,331.40","22,819.60","23,114.50","25,424.65","23,486.85","26,373.20","21,743.65",-9.93,-2.1
"NIFTY NEXT 50","61,912.75","2.59","62,118.05","62,477.25","61,677.40","-","60,349.80","62,043.05","63,862.30","69,778.45","62,460.80","70,833.65","57,250.25",-11.19,-0.74
"NIFTY BANK","51,448.65","2.33","51,433.90","52,025.85","51,133.55","-","50,275.35","52,274.60","53,427.05","61,047.30","51,209.00","61,764.85","49,156.95",-15,1.22
"NIFTY FINANCIAL SERVICES","23,981.80","1.96","24,129.20","24,275.15","23,941.95","-","23,521.80","24,373.20","24,781.15","28,295.10","24,829.60","28,562.50","23,450.85",-13.95,-2.23
"NIFTY MIDCAP SELECT","12,460.05","2.48","12,510.90","12,629.25","12,411.20","-","12,158.75","12,517.30","12,625.90","13,448.65","11,502.15","14,118.40","5,520.25",-7.64,9.45
"NIFTY 100","23,272.75","1.74","23,472.25","23,528.00","23,206.00","-","22,875.50","23,400.05","23,766.10","26,112.20","23,990.40","26,975.15","22,177.35",-10.14,-1.86
"NIFTY 200","12,720.35","1.83","12,820.30","12,864.30","12,680.40","-","12,492.10","12,789.20","12,985.40","14,214.45","12,951.45","14,700.95","11,941.45",-9.92,-0.69
"NIFTY 500","20,935.15","1.98","21,067.15","21,153.25","20,867.40","-","20,528.05","21,020.15","21,327.90","23,304.60","21,275.45","24,144.20","19,519.85",-9.63,-0.64
"NIFTY MIDCAP 50","15,295.45","2.08","15,374.05","15,500.00","15,235.35","-","14,983.35","15,396.10","15,572.60","16,718.75","14,567.05","17,572.45","13,269.65",-8.77,6.06
"NIFTY MIDCAP 100","53,819.15","2.22","54,075.45","54,519.60","53,582.95","-","52,650.00","54,097.80","54,855.50","59,066.35","51,646.15","61,548.85","46,966.60",-8.96,5.05
"NIFTY SMALLCAP 100","15,709.80","3.33","15,618.80","15,848.55","15,532.75","-","15,203.80","15,620.00","15,718.60","16,958.65","15,936.75","19,224.95","14,084.30",-7.2,-1.71
"INDIA VIX","25.01","-10.31","27.89","27.89","23.65","-","27.89","26.80","22.81","14.15","13.47","28.91","8.72",82.55,81.49
"NIFTY MIDCAP 150","19,869.10","2.26","19,952.20","20,099.95","19,783.20","-","19,430.90","19,952.75","20,226.90","21,820.20","19,106.65","22,650.05","17,269.50",-9.05,4.95
"NIFTY SMALLCAP 50","7,666.95","2.70","7,661.80","7,745.05","7,629.60","-","7,465.05","7,657.80","7,683.40","8,334.00","7,689.20","9,282.70","6,776.05",-7.65,0.18
"NIFTY SMALLCAP 250","14,749.10","3.22","14,665.25","14,844.15","14,585.55","-","14,288.45","14,655.35","14,791.95","15,933.05","14,970.00","18,077.35","13,314.70",-7.13,-1.87
"NIFTY MIDSMALLCAP 400","17,975.45","2.57","17,991.90","18,141.70","17,900.15","-","17,524.35","17,988.25","18,208.55","19,632.85","17,614.75","20,668.15","15,832.85",-8.42,2.52
"NIFTY500 MULTICAP 50:25:25","14,506.95","2.24","14,562.90","14,643.75","14,456.80","-","14,189.10","14,538.15","14,735.65","16,036.70","14,625.30","17,112.15","5,531.55",-9.12,-0.1
"NIFTY LARGEMIDCAP 250","14,865.40","2.00","14,960.10","15,032.45","14,812.50","-","14,574.50","14,937.30","15,156.60","16,500.00","14,794.40","17,095.20","5,635.20",-9.59,1.53
"NIFTY TOTAL MARKET","11,746.30","2.08","11,811.45","11,863.00","11,708.05","-","11,507.05","11,785.40","11,962.00","13,063.20","11,951.30","13,842.60","6,252.10",-9.54,-0.81
"NIFTY MICROCAP 250","19,766.25","4.62","19,487.10","19,891.15","19,369.95","-","18,892.95","19,456.95","19,927.50","21,433.75","20,737.00","26,476.90","5,802.95",-7.19,-5.18
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","15,965.00","2.41","16,001.65","16,107.80","15,906.45","-","15,589.65","15,981.85","16,188.10","17,561.50","15,981.00","18,838.10","14,014.40",-8.78,0.46
"NIFTY INDIA FPI 150","1,425.45","1.73","1,438.00","1,442.50","1,420.45","-","1,401.15","1,431.85","1,451.95","1,573.20","-","1,641.40","1,346.50",-8.93,0
"NIFTY AUTO","24,238.85","1.97","24,557.40","24,646.50","24,132.40","-","23,769.60","24,351.95","24,715.90","27,950.00","21,742.80","29,179.10","19,316.65",-13.92,14.14
"NIFTY FINANCIAL SERVICES 25/50","26,187.50","1.87","26,383.15","26,499.55","26,137.50","-","25,705.60","26,609.70","27,131.85","30,652.80","26,517.30","-","-",-13.37,-0.28
"NIFTY FMCG","46,135.95","1.31","46,499.45","46,513.05","45,886.25","-","45,538.65","46,427.20","47,007.55","52,235.25","52,988.50","58,485.05","45,436.00",-9.79,-13.12
"NIFTY IT","29,669.05","2.09","29,943.15","30,257.85","29,562.35","-","29,062.60","29,541.65","29,199.60","30,053.50","37,336.70","40,301.40","28,288.05",-3.05,-17.54
"NIFTY MEDIA","1,308.40","3.69","1,288.25","1,319.00","1,286.70","-","1,261.85","1,294.20","1,305.10","1,410.90","1,487.35","1,786.15","1,245.05",-7.61,-13.25
"NIFTY METAL","11,412.05","2.46","11,447.55","11,573.00","11,374.55","-","11,138.40","11,161.65","11,412.75","12,073.85","9,097.70","12,509.75","7,690.20",-6.77,26.56
"NIFTY PHARMA","22,011.60","-0.99","22,531.60","22,782.05","21,909.35","-","22,232.25","22,565.60","22,540.70","22,632.05","21,360.60","23,540.90","19,121.10",-4.1,5.97
"NIFTY PSU BANK","8,164.80","3.70","8,139.45","8,257.30","8,035.90","-","7,873.45","8,249.45","8,584.60","9,825.05","6,142.80","9,918.65","5,904.10",-16.86,30.54
"NIFTY PRIVATE BANK","24,569.80","1.76","24,623.85","24,843.15","24,491.55","-","24,144.85","24,986.70","25,267.65","28,872.55","25,627.75","29,748.45","24,055.60",-14.14,-3.36
